"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login page","Login button validation","0","0","2","0","0"
"","Login page","Login with valid credentials","0","0","6","0","0"
"","Product Page Validation","Adding products to the cart","0","0","1","0","0"
"","Login page","Login with invalid credentials","0","0","8","0","0"
"","Login page","UI validation","0","0","2","0","0"
"","Product Page Validation","Validate all products are shown in Ascending order when select Name (A to Z)","0","0","1","0","0"
"","Product Page Validation","Validate all products are shown in Descending order when select Price (low to high)","0","0","1","0","0"
"","Product Page Validation","UI Validation","0","0","2","0","0"
"","Product Page Validation","Product sort option should be selected A to Z by default","0","0","1","0","0"
"","Login page","Checking error message remove button","0","0","1","0","0"
"","Product Page Validation","Validate all products are shown in Descending order when select Name (Z to A)","0","0","1","0","0"
"","Product Page Validation","Validate all products are shown in Descending order when select Price (high to low)","0","0","1","0","0"
"","Product Page Validation","Adding and removing items from cart","0","0","1","0","0"
